Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Status Category,Status Category Changed
"Balance Inquiry: Savings Account displays ""Unknown Error""",S6A1-14,10024,Bug,To Do,S6A1,SENG 637 Assignment 1,software,Aneesh Bulusu,624115902e101c006a8c3c02,,High,,,,strahinjaar,712020:4e44b131-678e-4225-86fe-13661d5b4461,strahinjaar,712020:4e44b131-678e-4225-86fe-13661d5b4461,2/3/2025 18:07,2/3/2025 18:09,2/3/2025 18:17,,,0,"* *Function being tested:* Balance Inquiry
* *Initial State of system:* System is on and idle, valid card is entered and logged in
* *Steps to reproduce:* Select “Balance Inquiry” and then choose “Savings”
* *Expected outcome:* No error displayed on the green screen, and no money animation displayed.
* *Actual Outcome:* Green screen outputs “Unknown Error” and “$500.00” displays as it would when money is withdrawn. The balance inquiry still completes.",SUT Version 1.1,strahinjaar,,712020:4e44b131-678e-4225-86fe-13661d5b4461,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,,,,,,,,,,,,,,To Do,2/3/2025 18:07
MFT: Test case #34 Wrong inquiry transaction,S6A1-13,10023,Bug,To Do,S6A1,SENG 637 Assignment 1,software,Aneesh Bulusu,624115902e101c006a8c3c02,,High,,,,Long N,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,Long N,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,2/3/2025 17:34,2/3/2025 18:18,2/3/2025 18:18,,,0,"* *Test case #34.*
* *Function being tested:* System performs a legitimate inquiry transaction properly.
* *Initial State of system:* System is displaying menu of account types.
* *Steps to reproduce:* Choose checking account.
* *Expected outcome:* System prints a correct receipt showing correct balance; System records transaction correctly in the log (showing both message to the bank and approval back).
* *Actual Outcome:* System does not record transaction correctly in the log.",SUT Version 1.0,Long N,,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,,,,,,,,,,,,,,To Do,2/3/2025 17:34
MFT: Test case #33 Missing Savings in Inquiry menu,S6A1-12,10022,Bug,Done,S6A1,SENG 637 Assignment 1,software,Aneesh Bulusu,624115902e101c006a8c3c02,,High,Done,,,Long N,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,Long N,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,2/3/2025 17:27,2/3/2025 18:18,2/3/2025 18:35,2/3/2025 18:00,,0,"* *Test case #33.*
* *Function being tested:* System asks customer to choose an account to inquire about.
* *Initial State of system:* Menu of transaction types is being displayed.
* *Steps to reproduce:* Choose Inquiry transaction.
* *Expected outcome:* System displays a menu of account types as with other transactions including: Checking, Savings, and Money Market.
* *Actual Outcome:* System displays a menu of account types: only Checking and Money Market. It is missing Savings.",SUT Version 1.0,Long N,,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00047:,,,,,,,,,,,,,10008_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_1954251,,Done,2/3/2025 18:00
MFT: Test case #29 Wrong money transfer,S6A1-11,10021,Bug,Done,S6A1,SENG 637 Assignment 1,software,Aneesh Bulusu,624115902e101c006a8c3c02,,High,Done,,,Long N,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,Long N,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,2/3/2025 17:24,2/3/2025 18:40,2/3/2025 18:41,2/3/2025 18:40,,0,"* *Test case #29.*
* *Function being tested:* System performs a legitimate transfer transaction properly.
* *Initial State of system:* System is displaying a request for the customer to type a dollar amount.
* *Steps to reproduce:* Enter a legitimate dollar amount.
* *Expected outcome:* System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing both message to the bank and approval back).
* *Actual Outcome:* System prints an incorrect receipt showing amount and incorrect updated balance.",SUT Version 1.0,Long N,,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003z:,,,,,,,,,,,,,10008_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_4541047,,Done,2/3/2025 18:40
MFT: Test case #22 Wrong money deposit,S6A1-10,10020,Bug,Done,S6A1,SENG 637 Assignment 1,software,Aneesh Bulusu,624115902e101c006a8c3c02,,High,Done,,,Long N,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,Long N,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,2/3/2025 17:19,2/3/2025 18:39,2/3/2025 18:38,2/3/2025 18:39,,0,"* *Test case #22.*
* *Function being tested:* System performs a legitimate deposit transaction properly.
* *Initial State of system:* System is requesting that customer insert an envelope.
* *Steps to reproduce:* Insert an envelope.
* *Expected outcome:* System accepts envelope; System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing message to the bank, approval back, and acceptance of the envelope).
* *Actual Outcome:* System does not print a correct receipt showing amount and balance; System does not record transaction correctly in the log.",SUT Version 1.0,Long N,,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003r:,,,,,,,,,,,,,10008_*:*_1_*:*_2198270_*|*_3_*:*_1_*:*_20469_*|*_10006_*:*_2_*:*_2350803,,Done,2/3/2025 18:39
MFT: Test case #14 Wrong money withdrawal,S6A1-9,10019,Bug,Done,S6A1,SENG 637 Assignment 1,software,Aneesh Bulusu,624115902e101c006a8c3c02,,High,Done,,,Long N,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,Long N,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,2/3/2025 17:19,2/3/2025 18:20,2/3/2025 18:19,2/3/2025 17:55,,0,"* *Test case #14.*
* *Function being tested:* System performs a legitimate withdrawal transaction properly.
* *Initial State of system:* System is displaying the menu of withdrawal amounts.
* *Steps to reproduce:* 
** On the main menu, choose Withdrawal transaction.
** Choose checking account.
** Choose an amount that the system currently has and which is not greater than the account balance.
* *Expected outcome:* System dispenses this amount of cash; System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing both message to the bank and approval back).
* *Actual Outcome:* System does not dispense the correct amount of cash; System does not print a correct receipt. System does not record transaction correctly in the log.",SUT Version 1.0,Long N,,712020:da9f8ce8-bac3-4f4d-9765-f1afa236b760,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003j:,,,,,,,,,,,,,10008_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_2209718,,Done,2/3/2025 17:55
"Typo: When prompted to select the amount of money to withdraw, 60 is missing the symbol ""$""",S6A1-8,10018,Bug,To Do,S6A1,SENG 637 Assignment 1,software,Aneesh Bulusu,624115902e101c006a8c3c02,,Low,,,,strahinjaar,712020:4e44b131-678e-4225-86fe-13661d5b4461,strahinjaar,712020:4e44b131-678e-4225-86fe-13661d5b4461,2/3/2025 17:12,2/3/2025 18:16,2/3/2025 18:16,,,0,"* *Function being tested:* User prompts
* *Initial State of system:* System is on and idle, valid card is entered and logged in
* *Steps to reproduce:* Select withdrawal, select any account type
* *Expected outcome:* Prompt that displays:
 “
 1) $20
 2) $40
 3) $60
 4) $100
 5) $200
“
* *Actual Outcome:* Prompt displays:
 “
 1) $20
 2) $40
 3) 60
 4) $100
 5) $200
“",SUT Version 1.1,strahinjaar,,712020:4e44b131-678e-4225-86fe-13661d5b4461,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,,,,,,,,,,,,,,,To Do,2/3/2025 17:12
Retain Card Functionality missing,S6A1-6,10016,Bug,In Progress,S6A1,SENG 637 Assignment 1,software,Aneesh Bulusu,624115902e101c006a8c3c02,,High,,,,Aneesh Bulusu,624115902e101c006a8c3c02,Aneesh Bulusu,624115902e101c006a8c3c02,2/3/2025 12:14,2/3/2025 17:04,2/3/2025 18:14,,,0,"* *Function being tested:* Retain Card Functionality
* *Initial State of system:* System is on and idle
* *Steps to reproduce:* Attempt to log in with valid card, but enter PIN incorrectly 3 times. Then select “click to insert card” and try again with correct PIN.
* *Expected outcome:* Card is retained and user must contact bank to use the card again.
* *Actual Outcome:* User is logged in.",SUT Version 1.0,Aneesh Bulusu,strahinjaar,624115902e101c006a8c3c02,712020:4e44b131-678e-4225-86fe-13661d5b4461,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002v:,,,,,,,,,,,,04:19.7,,03/Feb/25 5:04 PM;712020:4e44b131-678e-4225-86fe-13661d5b4461;Defect still exists in version 1.1,In Progress,2/3/2025 17:04
Insufficient balance errors with checking account,S6A1-5,10015,Bug,Done,S6A1,SENG 637 Assignment 1,software,Aneesh Bulusu,624115902e101c006a8c3c02,,Medium,Done,,,Aneesh Bulusu,624115902e101c006a8c3c02,Aneesh Bulusu,624115902e101c006a8c3c02,2/3/2025 12:13,2/3/2025 17:02,2/3/2025 17:01,2/3/2025 17:02,,0,"* *Function being tested:* Withdrawal on checkings
* *Initial State of system:* System is on, valid card entered and logged in
* *Steps to reproduce:* Make withdrawal from checkings account
* *Expected outcome:* Money is withdrawn
* *Actual Outcome:* Insufficient balance error appears, even when attempting to withdraw $60 from $80 checkings account",SUT Version 1.0,Aneesh Bulusu,,624115902e101c006a8c3c02,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002n:,,,,,,,,,,,,,10008_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_17381933,,Done,2/3/2025 17:02
Savings account unavailable for balance inquiry,S6A1-4,10014,Bug,Done,S6A1,SENG 637 Assignment 1,software,Aneesh Bulusu,624115902e101c006a8c3c02,,Highest,Done,,,Aneesh Bulusu,624115902e101c006a8c3c02,Aneesh Bulusu,624115902e101c006a8c3c02,2/3/2025 12:11,2/3/2025 17:01,2/3/2025 17:01,2/3/2025 17:01,,0,"* *Function being tested:* Availability of all accounts for balance inquiry
* *Initial State of system:* System is on, valid card is entered and logged in
* *Steps to reproduce:* Select balance inquiry
* *Expected outcome:* Checkings, Savings, and Money Market options are all available
* *Actual Outcome:*   Only checkings and Money Market options are available",SUT Version 1.0,Aneesh Bulusu,strahinjaar,624115902e101c006a8c3c02,712020:4e44b131-678e-4225-86fe-13661d5b4461,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002f:,,,,,,,,,,,,55:26.2,10008_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_17419532,03/Feb/25 4:55 PM;712020:4e44b131-678e-4225-86fe-13661d5b4461;Fixed in SUT Version 1.1,Done,2/3/2025 17:01
